,delay,trial,model,direction,gap
181,0,45,GC,Independence,5.010449617848016e-07
182,0,45,TE,X -> Y,0.3020826501321475
183,0,45,LZP,Independence,26.0
184,0,46,DPE,X -> Y,0.11335593931901727
185,0,46,GC,Independence,1.5012529580719737e-05
186,0,46,TE,X -> Y,0.3128485361259992
187,0,46,LZP,Independence,24.0
188,0,47,DPE,X -> Y,0.11852824184946562
189,0,47,GC,Independence,0.0006139990270028067
190,0,47,TE,X -> Y,0.30513297890878016
191,0,47,LZP,Independence,26.0
192,0,48,DPE,X -> Y,0.12114652215636201
193,0,48,GC,Independence,4.678780875858852e-09
194,0,48,TE,X -> Y,0.3357255083498985
195,0,48,LZP,Independence,20.0
196,0,49,DPE,X -> Y,0.11442195114396586
197,0,49,GC,Independence,9.655532516027911e-06
198,0,49,TE,X -> Y,0.315581690022366
199,0,49,LZP,X -> Y,27.0
200,0,50,DPE,X -> Y,0.114594777518719
201,0,50,GC,Independence,0.00024074237066251038
202,0,50,TE,X -> Y,0.280448063221063
203,0,50,LZP,Independence,23.0
204,0,51,DPE,X -> Y,0.1377855078881663
205,0,51,GC,Independence,0.0008738656970205865
206,0,51,TE,X -> Y,0.2991869926539429
207,0,51,LZP,Independence,27.0
208,0,52,DPE,X -> Y,0.13015814789770436
209,0,52,GC,Independence,0.005501503555151275
210,0,52,TE,X -> Y,0.28725456573209923
211,0,52,LZP,Independence,24.0
212,0,53,DPE,X -> Y,0.0858978046999112
213,0,53,GC,Independence,7.05699915547837e-07
214,0,53,TE,X -> Y,0.3421746294843852
215,0,53,LZP,Independence,20.0
216,0,54,DPE,X -> Y,0.13368428626304701
217,0,54,GC,Independence,0.004390680508731811
218,0,54,TE,X -> Y,0.3274004295563995
219,0,54,LZP,Independence,25.0
220,0,55,DPE,X -> Y,0.12129001892447301
221,0,55,GC,Independence,2.127950512492576e-06
222,0,55,TE,X -> Y,0.30125460466615633
223,0,55,LZP,X -> Y,28.0
224,0,56,DPE,X -> Y,0.13936619113439752
225,0,56,GC,Independence,8.557822272332499e-08
226,0,56,TE,X -> Y,0.31358079030690633
227,0,56,LZP,Independence,18.0
228,0,57,DPE,X -> Y,0.11977734545078605
229,0,57,GC,Independence,1.7983594937138967e-06
230,0,57,TE,X -> Y,0.31172761247940556
231,0,57,LZP,Independence,27.0
232,0,58,DPE,X -> Y,0.15582516063669963
